#Date/Time of Update: 2016-12-18 6:33:24 PM,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date,#Age,#Birth City,#Birth Country,#Rookie,#Team ID,#Team Abbr.,#Team City,#Team Name,#Injury
,9452,Aminu,Al-Farouq,8,SF,"6'9""",215,1990-09-21,26,,,N,97,POR,Portland,Trail Blazers,calf (Out)
,9360,Babbitt,Luke,5,SF,"6'9""",217,1989-06-20,27,"Cincinnati, OH",USA,N,92,MIA,Miami,Heat,hip (Out)
,9180,Barea,J.J.,5,PG,"6'0""",185,1984-06-26,32,,,N,108,DAL,Dallas,Mavericks,achilles (Out)
,9197,Barton,Will,5,SG,"6'6""",175,1991-01-06,25,,,N,99,DEN,Denver,Nuggets,ankle sprain (Out)
,9323,Bayless,Jerryd,19,SG,"6'3""",200,1988-08-20,28,,,N,85,PHI,Philadelphia,76ers,sore wrist (Out)
,9239,Beverley,Patrick,2,PG,"6'1""",185,1988-07-12,28,,,N,109,HOU,Houston,Rockets,knee (Out)
,9217,Bogut,Andrew,12,C,"7'0""",260,1984-11-28,32,Melbourne,Australia,N,108,DAL,Dallas,Mavericks,knee (Out)
,9204,Bullock,Reggie,25,SF,"6'7""",205,1991-03-16,25,,,N,88,DET,Detroit,Pistons,back spasms (Out)
,9327,Carter-Williams,Michael,7,PG,"6'6""",190,1991-10-10,25,,,N,89,CHI,Chicago,Bulls,bruised knee (Out)
,9296,Conley,Mike,11,PG,"6'1""",175,1987-10-11,29,,,N,107,MEM,Memphis,Grizzlies,fractured vertebrae (Out)
,9107,Crowder,Jae,99,SF,"6'6""",235,1990-07-06,26,,,N,82,BOS,Boston,Celtics,ankle sprain (Out)
,9467,Curry,Seth,30,PG,"6'2""",185,1990-08-23,26,"Charlotte, NC",USA,N,108,DAL,Dallas,Mavericks,knee sprain (Doubtful)
,9473,Diaw,Boris,33,PF,"6'8""",250,1982-04-16,34,Corneilles-en-Parisis,France,N,98,UTA,Utah,Jazz,leg contusion (Out)
,9121,Ellington,Wayne,21,SG,"6'4""",200,1987-10-29,29,"Wynnewood, PA",USA,N,92,MIA,Miami,Heat,quad (Out)
,9505,Favors,Derrick,15,PF,"6'10""",265,1991-07-15,25,,,N,98,UTA,Utah,Jazz,knee (Out)
,9175,Felton,Raymond,29,PG,"6'1""",205,1984-06-26,32,"Marion, CA",USA,N,102,LAC,Los Angeles,Clippers,family emergency (Out)
,9176,Harris,Devin,34,PG,"6'3""",192,1983-02-27,33,,,N,108,DAL,Dallas,Mavericks,foot (Out)
,9191,Harris,Gary,14,SG,"6'4""",210,1994-09-14,22,,,N,99,DEN,Denver,Nuggets,foot sprain (Out)
,9082,Horford,Al,15,C,"6'10""",245,1986-06-03,30,Rio,DominicanRepublic,N,82,BOS,Boston,Celtics,Concussion (DTD)
,9213,Jackson,Reggie,1,PG,"6'3""",208,1990-04-16,26,,,N,88,DET,Detroit,Pistons,knee + thumb (Out)
,10086,Johnson,Brice,10,F,"6'10""",230,1994-06-27,22,,USA,Y,102,LAC,Los Angeles,Clippers,herniated disc (Out)
,9493,Johnson,James,3,PF,"6'9""",238,1987-02-20,29,"Cheyenne, WY",USA,N,92,MIA,Miami,Heat,rotator cuff (Out)
,9131,Lamb,Jeremy,3,SG,"6'5""",185,1992-05-30,24,,,N,93,CHA,Charlotte,Hornets,hamstring (Out)
,9138,Lin,Jeremy,7,SG,"6'3""",200,1988-08-23,28,,USA,N,84,BRO,Brooklyn,Nets,hamstring (Out)
,9249,Mahinmi,Ian,28,C,"6'11""",255,1986-11-05,30,Rouen,France,N,94,WAS,Washington,Wizards,knee (Out)
,9148,McDermott,Doug,3,SF,"6'8""",225,1992-01-03,24,,,N,89,CHI,Chicago,Bulls,concussion (Questionable)
,9334,Middleton,Khris,22,SG,"6'8""",234,1991-08-12,25,,,N,90,MIL,Milwaukee,Bucks,hamstring (March)
,9234,Motiejunas,Donatas,20,PF,"7'0""",222,1990-09-20,26,,,N,109,HOU,Houston,Rockets,no contract (Out)
,9413,Noel,Nerlens,4,C,"6'11""",228,1994-04-10,22,,,N,85,PHI,Philadelphia,76ers,knee surgery (Out)
,9172,Nowitzki,Dirk,41,PF,"7'0""",245,1978-06-19,38,,,N,108,DAL,Dallas,Mavericks,achilles (Questionable)
,9394,Payne,Cameron,22,PG,"6'3""",185,1994-08-08,22,,,N,96,OKL,Oklahoma City,Thunder,fractured foot (Out)
,9267,Pierce,Paul,34,SF,"6'7""",235,1977-10-13,39,,,N,102,LAC,Los Angeles,Clippers,sprained ankle (Out)
,9317,Richardson,Josh,0,SG,"6'6""",200,1993-09-15,23,,,N,92,MIA,Miami,Heat,ankle (Out)
,9338,Rubio,Ricky,9,PG,"6'4""",194,1990-10-21,26,,,N,100,MIN,Minnesota,Timberwolves,elbow sprain (Out)
,9083,Scott,Mike,32,PF,"6'8""",237,1988-07-16,28,,,N,91,ATL,Atlanta,Hawks,sore knee (Out)
,10087,Simmons,Ben,25,F,"6'10""",240,1996-07-20,20,,USA,Y,85,PHI,Philadelphia,76ers,fractured foot (Out)
,9098,Sullinger,Jared,50,PF,"6'9""",280,1992-03-04,24,"Columbus, OH",USA,N,81,TOR,Toronto,Raptors,foot surgery (Jan)
,9382,Thomas,Lance,42,PF,"6'8""",235,1988-04-24,28,"Brooklyn, NY",USA,N,83,NYK,New York,Knicks,ankle (Out)
,9384,Waiters,Dion,11,SG,"6'4""",225,1991-12-10,25,"Philadelphia, PA",USA,N,92,MIA,Miami,Heat,groin (Out)
,9163,Williams,Mo,52,PG,"6'1""",198,1982-12-19,33,,,N,86,CLE,Cleveland,Cavaliers,not reporting (Out)
,9304,Wright,Brandan,34,PF,"6'10""",210,1987-10-05,29,,,N,107,MEM,Memphis,Grizzlies,ankle (Out)
,9280,Young,Nick,0,SG,"6'7""",210,1985-06-01,31,,,N,105,LAL,Los Angeles,Lakers,calf strain (Out)
